Day,Place,run,Muslim,Instance
6,Kyauktaw,8,9434,myanmar2017_demo
6,Kyauktaw,9,9251,myanmar2017_demo
6,Kyauktaw,10,9280,myanmar2017_demo
6,Maungdaw,1,1835,myanmar2017_demo
6,Maungdaw,2,1745,myanmar2017_demo
6,Maungdaw,3,1789,myanmar2017_demo
6,Maungdaw,4,1808,myanmar2017_demo
6,Maungdaw,5,1822,myanmar2017_demo
6,Maungdaw,6,1882,myanmar2017_demo
6,Maungdaw,7,1730,myanmar2017_demo
6,Maungdaw,8,1784,myanmar2017_demo
6,Maungdaw,9,1866,myanmar2017_demo
6,Maungdaw,10,1791,myanmar2017_demo
6,Myebon,1,7991,myanmar2017_demo
