Day,Place,Muslim,run
12,Paletwa,9203,5
12,Pauktaw,6722,5
12,Ramree,19780,5
12,Rathedaung,18825,5
12,Sittwe,12346,5
13,Buthidaung,9541,5
13,Cox's Bazar,94624,5
13,Kyaukpyu,159,5
13,Kyauktaw,16719,5
13,Maungdaw,3536,5
13,Myebon,10096,5
13,Paletwa,10248,5
13,Pauktaw,7227,5
13,Ramree,22259,5
13,Rathedaung,20411,5
13,Sittwe,12873,5
14,Buthidaung,10041,5
14,Cox's Bazar,96816,5
14,Kyaukpyu,150,5
14,Kyauktaw,17472,5
14,Maungdaw,3890,5
14,Myebon,10431,5
14,Paletwa,11397,5
14,Pauktaw,7864,5
14,Ramree,24906,5
14,Rathedaung,22314,5
14,Sittwe,13757,5
0,Buthidaung,1106,6
0,Cox's Bazar,70168,6
0,Kyaukpyu,266,6
0,Kyauktaw,1057,6
0,Maungdaw,2010,6
0,Myebon,3921,6
0,Paletwa,518,6
0,Pauktaw,2329,6
0,Ramree,163,6
0,Rathedaung,2648,6
0,Sittwe,13370,6
1,Buthidaung,2495,6
1,Cox's Bazar,71961,6
1,Kyaukpyu,255,6
1,Kyauktaw,2826,6
1,Maungdaw,1706,6
1,Myebon,6526,6
1,Paletwa,1588,6
1,Pauktaw,2384,6
1,Ramree,569,6
1,Rathedaung,4687,6
1,Sittwe,12096,6
2,Buthidaung,3350,6
2,Cox's Bazar,73652,6
2,Kyaukpyu,246,6
2,Kyauktaw,4369,6
2,Maungdaw,1467,6
2,Myebon,6947,6
2,Paletwa,2525,6
2,Pauktaw,2539,6
2,Ramree,1433,6
2,Rathedaung,6276,6
2,Sittwe,11198,6
3,Buthidaung,4156,6
3,Cox's Bazar,75468,6
3,Kyaukpyu,235,6
3,Kyauktaw,5772,6
3,Maungdaw,1530,6
3,Myebon,7268,6
3,Paletwa,3437,6
3,Pauktaw,2822,6
3,Ramree,2606,6
3,Rathedaung,7716,6
3,Sittwe,10445,6
4,Buthidaung,4955,6
4,Cox's Bazar,77155,6
4,Kyaukpyu,226,6
4,Kyauktaw,7065,6
4,Maungdaw,1564,6
4,Myebon,7471,6
4,Paletwa,4257,6
4,Pauktaw,3210,6
4,Ramree,4009,6
4,Rathedaung,9020,6
4,Sittwe,9949,6
5,Buthidaung,5654,6
5,Cox's Bazar,78966,6
5,Kyaukpyu,215,6
5,Kyauktaw,8133,6
5,Maungdaw,1649,6
5,Myebon,7723,6
5,Paletwa,5206,6
5,Pauktaw,3623,6
5,Ramree,5549,6
5,Rathedaung,10191,6
5,Sittwe,9708,6
6,Buthidaung,6445,6
6,Cox's Bazar,80661,6
6,Kyaukpyu,204,6
6,Kyauktaw,9352,6
6,Maungdaw,1882,6
6,Myebon,7947,6
6,Paletwa,5702,6
6,Pauktaw,4052,6
6,Ramree,7095,6
6,Rathedaung,11530,6
6,Sittwe,9428,6
7,Buthidaung,7036,6
7,Cox's Bazar,82487,6
7,Kyaukpyu,193,6
7,Kyauktaw,10627,6
7,Maungdaw,2114,6
7,Myebon,8178,6
7,Paletwa,6324,6
7,Pauktaw,4497,6
7,Ramree,8861,6
7,Rathedaung,12910,6
7,Sittwe,9502,6
8,Buthidaung,7521,6
8,Cox's Bazar,84403,6
8,Kyaukpyu,185,6
8,Kyauktaw,11774,6
8,Maungdaw,2328,6
8,Myebon,8434,6
8,Paletwa,6937,6
8,Pauktaw,4960,6
8,Ramree,10850,6
8,Rathedaung,14060,6
8,Sittwe,9849,6
9,Buthidaung,7792,6
9,Cox's Bazar,86404,6
9,Kyaukpyu,177,6
9,Kyauktaw,12879,6
9,Maungdaw,2570,6
9,Myebon,8697,6
9,Paletwa,7564,6
9,Pauktaw,5392,6
9,Ramree,12979,6
9,Rathedaung,15255,6
9,Sittwe,10272,6
10,Buthidaung,8123,6
10,Cox's Bazar,88449,6
10,Kyaukpyu,165,6
10,Kyauktaw,13914,6
10,Maungdaw,2825,6
10,Myebon,9010,6
10,Paletwa,8228,6
10,Pauktaw,5853,6
10,Ramree,15279,6
10,Rathedaung,16425,6
10,Sittwe,10707,6
11,Buthidaung,8425,6
11,Cox's Bazar,90419,6
